"easting","northing","npoints","id","date","dist"
275019.374378532,5801467.82447868,214,"Rowan","2023-07-31",49.918516824941
275060.281354438,5801597.68660264,93,"Rowan","2023-08-01",24.711304230849
274972.332228432,5801536.90479646,64,"Rowan","2023-08-02",76.8770172014529
275022.108492735,5801478.31811464,280,"Rowan","2023-08-02",76.8770172014529
275019.853374493,5801471.42932846,442,"Rowan","2023-08-03",38.1729895818956
275038.41357465,5801504.78642821,24,"Rowan","2023-08-03",38.1729895818956
274466.450301018,5802212.77450094,24,"Sage","2023-06-10",122.100438450543
274524.59363056,5802200.24456283,28,"Sage","2023-06-12",36.0646187454927
274525.556057774,5802229.86363087,34,"Sage","2023-06-13",35.5854970060121
274568.134836786,5802218.57667912,20,"Sage","2023-06-14",8.66961676678248
274569.884206276,5802266.28726085,25,"Sage","2023-06-15",55.6276413124571
274557.273122354,5802212.10797477,19,"Sage","2023-06-15",55.6276413124571
274564.715119314,5802224.8724977,34,"Sage","2023-06-16",74.3950953014131
274655.339021752,5802310.88474426,27,"Sage","2023-06-17",50.8808794861236
274605.219549864,5802302.11534092,55,"Sage","2023-06-17",50.8808794861236
274625.340540104,5802196.32115029,18,"Sage","2023-06-18",85.8074088590993
274648.894035185,5802278.83263,46,"Sage","2023-06-18",85.8074088590993
274378.554961949,5802480.86316436,30,"Sage","2023-06-19",324.488412161649
274644.108659463,5802294.38538186,56,"Sage","2023-06-19",324.488412161649
274566.821538399,5802216.48769186,77,"Sage","2023-06-20",161.344072809705
274466.64181433,5802207.03555154,60,"Sage","2023-06-21",113.451595795056
274580.063821165,5802209.62648841,30,"Sage","2023-06-21",113.451595795056
274537.192393249,5802205.26062825,33,"Sage","2023-06-22",82.1371202564706
274455.076391084,5802207.12307621,51,"Sage","2023-06-22",82.1371202564706
274475.456593054,5802229.11411806,21,"Sage","2023-06-23",31.0717757319004
274457.077523054,5802204.0608741,20,"Sage","2023-06-23",31.0717757319004
274469.038181491,5802205.05441922,33,"Sage","2023-06-24",13.2700188159455
274383.412240638,5802140.34148198,33,"Sage","2023-06-25",143.41243865802
274504.520008273,5802115.3768958,32,"Sage","2023-06-26",52.9610031539827
274502.013265031,5802113.50672095,27,"Sage","2023-06-27",365.686242164388
274498.46017252,5801597.19396637,61,"Sage","2022-12-15",92.199448421284
274553.066813732,5802288.55678354,79,"Sage","2022-12-16",45.0885213558677
274514.258251283,5802265.60312939,207,"Sage","2022-12-16",45.0885213558677
274502.305627874,5802236.83409156,184,"Sage","2022-12-17",30.3729152695143
274515.597685455,5802264.14407485,477,"Sage","2022-12-17",30.3729152695143
274538.252218587,5802245.05236659,112,"Sage","2022-12-18",32.4543938127474
274511.57528804,5802263.53557665,274,"Sage","2022-12-18",32.4543938127474
274585.794282523,5802276.60204209,467,"Sage","2022-12-19",37.8695872097828
274558.766522809,5802303.12761165,90,"Sage","2022-12-19",37.8695872097828
274559.609441866,5802282.75085283,205,"Sage","2022-12-20",221.438130783578
274677.553835486,5802470.16474179,30,"Sage","2022-12-20",221.438130783578
274564.541275743,5802286.73051156,150,"Sage","2022-12-21",225.810828922979
274680.015564837,5802480.78261543,31,"Sage","2022-12-21",225.810828922979
274511.524326254,5802261.15444909,97,"Sage","2022-12-22",44.0535775816668
274555.509005727,5802258.69159111,41,"Sage","2022-12-22",44.0535775816668
274586.061895687,5802270.39130641,71,"Sage","2022-12-23",18.8905280213315
274561.098077378,5802210.54989525,349,"Sage","2022-12-24",18.9789787716126
274559.645369019,5802210.30761078,81,"Sage","2022-12-25",11.0580651003336
274564.414436056,5802209.06858913,121,"Sage","2022-12-26",10.5811189078753
274559.190056426,5802206.21375721,70,"Sage","2022-12-27",15.7793623591271
274555.985878891,5802211.11429647,40,"Sage","2022-12-28",22.3345951757565
274565.789480005,5802220.64848788,73,"Sage","2022-12-29",19.1966117876743
274563.560581507,5802213.53358715,62,"Sage","2022-12-30",12.9155412291015
274583.872516521,5802267.29598729,143,"Sage","2022-12-31",20.9698752221511
274576.697264664,5802284.38631406,103,"Sage","2023-01-01",66.7717918511585
274513.833665671,5802261.87764665,32,"Sage","2023-01-01",66.7717918511585
274571.15793922,5802290.55604536,78,"Sage","2023-01-02",30.2509027759826
274582.798460963,5802318.47763866,47,"Sage","2023-01-02",30.2509027759826
274608.755651454,5802299.85765734,35,"Sage","2023-01-03",41.0781756043334
274568.064457052,5802294.23242764,74,"Sage","2023-01-03",41.0781756043334
274625.084024508,5802316.87855138,27,"Sage","2023-01-04",55.1800338879863
274572.431000879,5802300.37112146,83,"Sage","2023-01-04",55.1800338879863
274639.945926771,5802382.42116155,133,"Sage","2023-01-05",49.1627793122626
274626.973007127,5802335.00088924,39,"Sage","2023-01-05",49.1627793122626
274684.188050137,5802496.93258014,51,"Sage","2023-01-06",168.448735257899
274628.176794897,5802338.06875261,319,"Sage","2023-01-06",168.448735257899
274574.722855928,5802304.41821702,84,"Sage","2023-01-07",16.9374361234586
274577.65269451,5802291.41577082,79,"Sage","2023-01-08",27.490288297879
274571.327250728,5802300.23618663,80,"Sage","2023-01-09",52.9571214357467
274617.380240626,5802326.38152717,25,"Sage","2023-01-09",52.9571214357467
274588.059873586,5802314.48409252,181,"Sage","2023-01-10",25.4895085845193
274566.267488939,5802300.92845704,135,"Sage","2023-01-11",91.933032383439
274591.482047641,5802331.94672312,61,"Sage","2023-01-12",158.465014876742
274678.505049683,5802464.37843404,86,"Sage","2023-01-12",158.465014876742
274667.748745055,5802452.15397906,38,"Sage","2023-01-13",110.594390439073
274607.533590403,5802359.38946889,128,"Sage","2023-01-13",110.594390439073
