"npoints","id","date","distance_previous","longitude","latitude"
79,"Sage",2023-01-27,46.1212522140399,144.437766548394,-37.8973151108936
82,"Sage",2023-01-28,22.4446830007312,144.437989215942,-37.8972164267641
75,"Sage",2023-01-29,59.6296901765906,144.437540690322,-37.8976191203479
70,"Sage",2023-01-30,6.69827878980473,144.437508501616,-37.8976737976925
79,"Sage",2023-01-31,18.423808913612,144.437591940208,-37.8975215870226
75,"Sage",2023-02-01,6.69378340677782,144.43753784194,-37.8975639852898
78,"Sage",2023-02-02,166.143537807491,144.439291342772,-37.8970082601902
86,"Sage",2023-02-03,30.9918450543579,144.439639956457,-37.8969680876037
88,"Sage",2023-02-04,14.4725316838327,144.439536181524,-37.8970692378367
81,"Sage",2023-02-05,13.0552072764832,144.439611364223,-37.8969678528088
82,"Sage",2023-02-06,27.2776311335162,144.439329194502,-37.8970696988773
84,"Sage",2023-02-07,67.1172035597916,144.438639512826,-37.8973281541854
83,"Sage",2023-02-08,81.974636684997,144.439220750272,-37.8967510368765
77,"Sage",2023-02-09,34.1206923144715,144.439484633465,-37.8969762729069
77,"Sage",2023-02-10,0.818667810812968,144.439475914143,-37.8969736966766
78,"Sage",2023-02-11,27.2563179486849,144.439182770533,-37.8970531563623
81,"Sage",2023-02-12,19.3147627653711,144.439343676043,-37.896934792518
83,"Sage",2023-02-13,3.37152211708326,144.439305684798,-37.896938783656
81,"Sage",2023-02-14,18.0839338799134,144.439117242829,-37.8968737100881
73,"Sage",2023-02-15,33.7714174477975,144.43946002292,-37.8970106467749
68,"Sage",2023-02-16,13.4085574034026,144.439378625283,-37.8969085364305
75,"Sage",2023-02-17,6.03584809294894,144.439399413684,-37.8969603481446
65,"Sage",2023-02-18,6.80326174653105,144.439336688777,-37.896996190058
77,"Sage",2023-02-19,10.2164656018672,144.439449558158,-37.8969745389748
72,"Sage",2023-02-20,1.81020662997514,144.439456727797,-37.8969898224521
72,"Sage",2023-02-21,6.77000541514666,144.439533233708,-37.8969832526747
78,"Sage",2023-02-22,15.2615636119688,144.439702743091,-37.8969540230324
79,"Sage",2023-02-23,26.6972297061685,144.439409087088,-37.8970146664357
78,"Sage",2023-02-24,3.42257289229735,144.439384460459,-37.896990800695
67,"Sage",2023-02-25,11.3947545933665,144.439381841474,-37.8970934171866
49,"Sage",2023-02-26,804.903725688786,144.433978333816,-37.9029441366651
67,"Sage",2023-02-27,8.90263718803183,144.433905302581,-37.9029996502176
61,"Sage",2023-02-28,162.725582333499,144.432082129361,-37.9032475831672
45,"Sage",2023-03-01,6.91196344352711,144.432160440959,-37.9032526653338
69,"Sage",2023-03-02,9.40702637247497,144.432055708266,-37.9032697816074
55,"Sage",2023-03-03,50.389550159269,144.431992132045,-37.9037208557879
71,"Sage",2023-03-04,58.38376657166,144.431774945698,-37.9042177874253
67,"Sage",2023-03-05,892.044659114585,144.437542132506,-37.8976088567096
71,"Sage",2023-03-06,668.454880513906,144.434185189372,-37.903010462485
73,"Sage",2023-03-07,7.45805390248915,144.434185080634,-37.9029432848594
72,"Sage",2023-03-08,7.63489655541775,144.434270223049,-37.9029299418586
78,"Sage",2023-03-09,15.2135185828325,144.434371948182,-37.9030407638351
73,"Sage",2023-03-10,104.265208526286,144.433274571113,-37.9033956673514
74,"Sage",2023-03-11,107.226522122158,144.432156743061,-37.9037808084434
73,"Sage",2023-03-12,23.0689295980818,144.431899815956,-37.9038224418748
74,"Sage",2023-03-13,9.04759024888197,144.431837752135,-37.9037574562497
73,"Sage",2023-03-14,17.793239178901,144.432039652818,-37.9037671548862
72,"Sage",2023-03-15,13.3101930060763,144.431889004203,-37.903778341139
71,"Sage",2023-03-16,33.0101580169968,144.432256565464,-37.9037184392075
57,"Sage",2023-03-17,109.727830604191,144.431093990363,-37.9040766344114
71,"Sage",2023-03-18,197.4270498979,144.433337787257,-37.9041156503896
68,"Sage",2023-03-19,109.675805895157,144.43229069616,-37.9035793794366
54,"Sage",2023-03-20,1000.25410068521,144.439526311703,-37.8966294045762
67,"Sage",2023-03-21,1038.74260475453,144.43187816092,-37.9037578071109
56,"Sage",2023-03-22,66.6549917820127,144.43115179908,-37.9039287571849
70,"Sage",2023-03-23,51.5622714059508,144.431727818352,-37.9038427627559
66,"Sage",2023-03-24,5.52271281146719,144.431774717432,-37.9038096920434
