"x","y","npoints","id","date"
274645.804799703,5802195.33499906,55,"Sparkles",2023-07-10
274669.327450124,5802184.82636265,58,"Sparkles",2023-07-11
274673.896667322,5802235.0541539,58,"Sparkles",2023-07-12
274672.83951472,5802199.72939174,57,"Sparkles",2023-07-13
274693.1306663,5802161.90674815,54,"Sparkles",2023-07-14
274509.319446824,5802209.26396209,58,"Sparkles",2023-07-15
275135.395605411,5801929.94211405,51,"Sparkles",2023-07-16
275162.05063605,5801913.16503753,44,"Sparkles",2023-07-17
275160.014022386,5801907.0854303,55,"Sparkles",2023-07-18
274528.204974134,5802162.89281888,52,"Sparkles",2023-07-19
274514.349131739,5802130.56586541,53,"Sparkles",2023-07-20
274678.20502297,5802203.2896986,55,"Sparkles",2023-07-21
274660.760897793,5802194.69365731,59,"Sparkles",2023-07-22
274676.072395442,5802202.83711665,56,"Sparkles",2023-07-23
274676.193882352,5802207.43143818,48,"Sparkles",2023-07-24
274668.094992154,5802216.68460122,55,"Sparkles",2023-07-25
274671.637459368,5802212.59966661,57,"Sparkles",2023-07-26
274711.890729794,5802229.77833058,61,"Sparkles",2023-07-27
274676.791820859,5802194.85783507,61,"Sparkles",2023-07-28
274663.354208159,5802183.23155173,65,"Sparkles",2023-07-29
274641.940222826,5802161.22664343,63,"Sparkles",2023-07-30
274676.332544681,5802203.06619362,54,"Sparkles",2023-07-31
274694.65930633,5802151.10026846,61,"Sparkles",2023-08-01
274685.21131535,5802166.39485329,60,"Sparkles",2023-08-02
274679.391468655,5802156.97544408,59,"Sparkles",2023-08-03
274591.409742081,5802280.12039999,56,"River",2023-06-10
274386.869189367,5802106.10268283,57,"River",2023-06-11
274504.548396234,5802189.85313922,57,"River",2023-06-12
274522.546870835,5802222.40576623,57,"River",2023-06-13
274563.709428855,5802208.5091678,57,"River",2023-06-14
274580.240703088,5802259.29842825,57,"River",2023-06-15
274582.884322762,5802234.27818881,57,"River",2023-06-16
274602.499199534,5802304.36413585,61,"River",2023-06-17
274666.796696143,5802333.73241632,54,"River",2023-06-18
274613.289097438,5802292.594954,51,"River",2023-06-19
274569.89321953,5802205.38692959,56,"River",2023-06-20
274526.433915003,5802211.44793625,55,"River",2023-06-21
274500.561456232,5802213.17133585,57,"River",2023-06-22
274464.623527384,5802217.8388814,57,"River",2023-06-23
274488.250170249,5802173.56339665,54,"River",2023-06-24
274482.170840812,5802179.42573963,55,"River",2023-06-25
274526.902732632,5802209.57579891,56,"River",2023-06-26
274487.074108696,5802128.82169457,52,"River",2023-06-27
274520.368779142,5802205.69652747,58,"River",2023-06-28
274564.582144948,5802122.99657753,56,"River",2023-06-29
274496.340476485,5801853.61874732,56,"River",2023-06-30
274582.862683908,5802148.55573083,57,"River",2023-07-01
274569.618659301,5802158.70796253,56,"River",2023-07-02
274557.515262864,5802114.44671692,58,"River",2023-07-03
274580.003037704,5802160.30204506,54,"River",2023-07-04
274613.807125261,5802094.7601752,58,"River",2023-07-05
275098.182508453,5801725.42814798,50,"River",2023-07-06
274660.475633753,5802211.05548456,56,"River",2023-07-07
274695.722748322,5802233.36442196,52,"River",2023-07-08
274660.634384084,5802198.07819183,57,"River",2023-07-09
274678.647360216,5802212.98559858,57,"River",2023-07-10
274675.963597942,5802201.167764,62,"River",2023-07-11
274662.443498725,5802198.19934802,62,"River",2023-07-12
274672.506008444,5802224.16126389,58,"River",2023-07-13
274691.558827944,5802176.56629146,54,"River",2023-07-14
274510.746389377,5802209.57348672,58,"River",2023-07-15
274458.932007195,5802117.01479513,58,"River",2023-07-16
274663.037526773,5802182.87823456,58,"River",2023-07-17
274689.295033363,5802294.4289527,57,"River",2023-07-18
274561.485372518,5802136.38742363,61,"River",2023-07-19
274523.002359911,5802130.29467198,55,"River",2023-07-20
274683.171056423,5802202.56991308,58,"River",2023-07-21
274660.631741726,5802203.84210417,58,"River",2023-07-22
274678.14479988,5802195.06878374,58,"River",2023-07-23
274675.354626335,5802211.08655374,59,"River",2023-07-24
274664.124967801,5802217.20456218,59,"River",2023-07-25
274675.956866763,5802207.35671706,66,"River",2023-07-26
274706.484868756,5802233.68635521,66,"River",2023-07-27
274666.730286087,5802206.27662218,68,"River",2023-07-28
274675.165111977,5802181.95283101,65,"River",2023-07-29
274650.819749608,5802170.54557574,64,"River",2023-07-30
274666.028006839,5802202.24483252,63,"River",2023-07-31
274701.064157685,5802150.66073474,60,"River",2023-08-01
274685.086555052,5802157.9476326,63,"River",2023-08-02
274682.48199078,5802168.95187565,63,"River",2023-08-03
274463.059645738,5802174.50747384,57,"Maeve",2023-06-10
274497.842560957,5802049.99188489,56,"Maeve",2023-06-11
274466.44452368,5802082.9343766,58,"Maeve",2023-06-12
274432.954270975,5802043.83875447,58,"Maeve",2023-06-13
274440.052082197,5802034.34482027,56,"Maeve",2023-06-14
274514.930179068,5802159.32242783,57,"Maeve",2023-06-15
274552.236780157,5802221.37833737,55,"Maeve",2023-06-16
274663.687213758,5802341.95066225,56,"Maeve",2023-06-17
274693.080797534,5802482.80984798,55,"Maeve",2023-06-18
274695.306964048,5802468.443253,55,"Maeve",2023-06-19
274713.626214835,5802471.12649363,54,"Maeve",2023-06-20
274716.97749052,5802474.17687535,55,"Maeve",2023-06-21
274690.301145007,5802458.08610071,56,"Maeve",2023-06-22
274482.211167708,5802205.38984274,57,"Maeve",2023-06-23
274467.055170287,5802236.30492153,55,"Maeve",2023-06-24
274481.8359861,5802198.92874084,53,"Maeve",2023-06-25
274517.848611165,5802202.35886989,49,"Maeve",2023-06-26
274453.114580633,5802118.98597019,57,"Maeve",2023-06-27
274568.511010264,5802114.46089407,57,"Maeve",2023-06-28
