"id","date_bird","state1","state2","state3","state4","total","state1p","state2p","state3p","state4p"
"Briar","2022-11-16",92,101,7,3,203,0.45320197044335,0.497536945812808,0.0344827586206897,0.0147783251231527
"Nutmeg","2022-11-16",12,136,0,0,148,0.0810810810810811,0.918918918918919,0,0
"Robin","2022-11-16",276,44,0,0,320,0.8625,0.1375,0,0
"Aurora","2022-11-17",232,49,6,6,293,0.791808873720137,0.167235494880546,0.0204778156996587,0.0204778156996587
"Briar","2022-11-17",370,35,4,3,412,0.898058252427185,0.0849514563106796,0.00970873786407767,0.00728155339805825
"Nutmeg","2022-11-17",325,24,0,0,349,0.931232091690544,0.0687679083094556,0,0
"Robin","2022-11-17",283,94,0,1,378,0.748677248677249,0.248677248677249,0,0.00264550264550265
"Aurora","2022-11-18",322,74,0,3,399,0.807017543859649,0.18546365914787,0,0.0075187969924812
"Briar","2022-11-18",282,192,0,7,481,0.586278586278586,0.399168399168399,0,0.0145530145530146
"Nutmeg","2022-11-18",433,29,0,1,463,0.935205183585313,0.0626349892008639,0,0.00215982721382289
"Robin","2022-11-18",519,0,0,1,520,0.998076923076923,0,0,0.00192307692307692
"Aurora","2022-11-19",7,61,21,3,92,0.0760869565217391,0.66304347826087,0.228260869565217,0.0326086956521739
"Briar","2022-11-19",23,56,19,2,100,0.23,0.56,0.19,0.02
"Nutmeg","2022-11-19",54,26,0,0,80,0.675,0.325,0,0
"Robin","2022-11-19",95,7,0,1,103,0.922330097087379,0.0679611650485437,0,0.00970873786407767
"Aurora","2022-11-20",377,57,0,6,440,0.856818181818182,0.129545454545455,0,0.0136363636363636
"Briar","2022-11-20",183,24,6,8,221,0.828054298642534,0.108597285067873,0.0271493212669683,0.0361990950226244
"Nutmeg","2022-11-20",16,94,0,0,110,0.145454545454545,0.854545454545454,0,0
"Robin","2022-11-20",43,26,13,0,82,0.524390243902439,0.317073170731707,0.158536585365854,0
"Aurora","2022-11-21",355,105,0,2,462,0.768398268398268,0.227272727272727,0,0.00432900432900433
"Briar","2022-11-21",99,37,0,7,143,0.692307692307692,0.258741258741259,0,0.048951048951049
"Nutmeg","2022-11-21",145,43,0,5,193,0.751295336787565,0.22279792746114,0,0.0259067357512953
"Robin","2022-11-21",3,75,5,5,88,0.0340909090909091,0.852272727272727,0.0568181818181818,0.0568181818181818
"Aurora","2022-11-22",15,72,9,1,97,0.154639175257732,0.742268041237113,0.0927835051546392,0.0103092783505155
"Briar","2022-11-22",46,21,17,6,90,0.511111111111111,0.233333333333333,0.188888888888889,0.0666666666666667
"Nutmeg","2022-11-22",44,28,0,0,72,0.611111111111111,0.388888888888889,0,0
"Robin","2022-11-22",12,48,15,7,82,0.146341463414634,0.585365853658537,0.182926829268293,0.0853658536585366
"Aurora","2022-11-23",3,31,16,14,64,0.046875,0.484375,0.25,0.21875
"Briar","2022-11-23",72,70,38,0,180,0.4,0.388888888888889,0.211111111111111,0
"Nutmeg","2022-11-23",63,80,0,5,148,0.425675675675676,0.540540540540541,0,0.0337837837837838
"Robin","2022-11-23",0,42,21,2,65,0,0.646153846153846,0.323076923076923,0.0307692307692308
"Aurora","2022-11-24",0,50,17,1,68,0,0.735294117647059,0.25,0.0147058823529412
"Briar","2022-11-24",9,36,15,6,66,0.136363636363636,0.545454545454545,0.227272727272727,0.0909090909090909
"Nutmeg","2022-11-24",19,54,0,3,76,0.25,0.710526315789474,0,0.0394736842105263
"Robin","2022-11-24",0,53,0,0,53,0,1,0,0
"Aurora","2022-11-25",86,153,3,2,244,0.352459016393443,0.627049180327869,0.0122950819672131,0.00819672131147541
"Briar","2022-11-25",372,21,5,2,400,0.93,0.0525,0.0125,0.005
"Nutmeg","2022-11-25",408,31,0,1,440,0.927272727272727,0.0704545454545455,0,0.00227272727272727
"Robin","2022-11-25",9,17,0,5,31,0.290322580645161,0.548387096774194,0,0.161290322580645
