"id","date","dist_release"
"Valentine",2023-01-14,399.798024790192
"Marmalade",2023-01-14,404.128644635687
"Nutmeg",2023-01-14,1296.01619923118
"Aurora",2023-01-15,1310.05786547863
"Briar",2023-01-15,1292.86482241696
"Iona",2023-01-15,66.0410672920351
"Koda",2023-01-15,481.296972547308
"Prem",2023-01-15,702.948089518275
"Robin",2023-01-15,1275.11842792077
"Rove",2023-01-15,69.3637839827159
"Sage",2023-01-15,492.393943717728
"Valentine",2023-01-15,384.165080004111
"Marmalade",2023-01-15,538.967594060388
"Nutmeg",2023-01-15,1275.69178700532
"Aurora",2023-01-16,1291.50542527585
"Briar",2023-01-16,1290.32352876289
"Iona",2023-01-16,63.8302187811271
"Koda",2023-01-16,483.699400295679
"Prem",2023-01-16,800.729880218336
"Robin",2023-01-16,1309.08748144552
"Rove",2023-01-16,73.0174559397414
"Sage",2023-01-16,483.81890075735
"Valentine",2023-01-16,191.788552947035
"Marmalade",2023-01-16,575.322237860356
"Nutmeg",2023-01-16,1298.83523641323
"Aurora",2023-01-17,1267.80087759184
"Briar",2023-01-17,1274.27812648408
"Brook",2023-01-17,555.004365502687
"Clover",2023-01-17,562.578783135087
"Iona",2023-01-17,65.0943605559854
"Koda",2023-01-17,476.594951138048
"Prem",2023-01-17,799.595356092662
"Robin",2023-01-17,1270.57188701939
"Rove",2023-01-17,64.0438783995381
"Sage",2023-01-17,475.272865296263
"Valentine",2023-01-17,914.835709254819
"Marmalade",2023-01-17,558.806118883734
"Nutmeg",2023-01-17,1268.30066502949
"Aurora",2023-01-18,1302.36103239868
"Briar",2023-01-18,1302.27155000056
"Brook",2023-01-18,808.71694336003
"Iona",2023-01-18,79.7562379030407
"Koda",2023-01-18,515.944757031239
"Prem",2023-01-18,400.171535382282
"Robin",2023-01-18,1303.24133063012
"Rove",2023-01-18,89.579325020006
"Sage",2023-01-18,476.13818757999
"Valentine",2023-01-18,1306.70695884442
"Marmalade",2023-01-18,556.834330004768
"Nutmeg",2023-01-18,794.13483067592
"Aurora",2023-01-19,1301.5644753121
"Briar",2023-01-19,1290.17390354353
